BUKRS,HKONT,AccountName,AccountType,CALMONTH,DEBIT_F,CREDIT_F,BALANCE_F
1000,100100,现金,资产,202512,682.2,102.6,2808.7
1000,100100,现金,资产,202601,287.4,371.2,2724.9
1000,100100,现金,资产,202602,394.5,238.7,2880.7
1000,100100,现金,资产,202603,638.5,400.9,3118.3
1000,100100,现金,资产,202604,587.0,214.6,3490.7
1000,100100,现金,资产,202605,299.9,242.4,3548.2
1000,100200,银行存款,资产,202512,645.3,347.4,5022.8
1000,100200,银行存款,资产,202601,734.3,556.8,5200.3
1000,100200,银行存款,资产,202602,671.0,385.8,5485.5
1000,100200,银行存款,资产,202603,323.3,749.0,5059.8
1000,100200,银行存款,资产,202604,84.5,339.5,4804.8
1000,100200,银行存款,资产,202605,455.2,82.3,5177.7
1000,113200,应收账款,资产,202512,441.5,92.3,1248.1
1000,113200,应收账款,资产,202601,92.8,67.5,1273.4
1000,113200,应收账款,资产,202602,524.6,320.4,1477.6
1000,113200,应收账款,资产,202603,400.5,655.1,1223.0
1000,113200,应收账款,资产,202604,205.7,681.5,747.2
1000,113200,应收账款,资产,202605,790.0,771.8,765.4
1000,122100,存货-原材料,资产,202512,501.4,75.9,3920.6
1000,122100,存货-原材料,资产,202601,495.3,489.9,3926.0
1000,122100,存货-原材料,资产,202602,266.8,482.3,3710.5
1000,122100,存货-原材料,资产,202603,288.8,765.8,3233.5
1000,122100,存货-原材料,资产,202604,449.2,570.6,3112.1
1000,122100,存货-原材料,资产,202605,203.4,249.9,3065.6
1000,122200,存货-在产品,资产,202512,106.9,779.5,450.7
1000,122200,存货-在产品,资产,202601,255.0,762.7,-57.0
1000,122200,存货-在产品,资产,202602,628.3,104.3,467.0
1000,122200,存货-在产品,资产,202603,249.9,342.7,374.2
1000,122200,存货-在产品,资产,202604,546.2,412.4,508.0
1000,122200,存货-在产品,资产,202605,414.9,494.4,428.5
1000,122300,存货-成品,资产,202512,636.8,793.5,2472.4
1000,122300,存货-成品,资产,202601,672.6,425.6,2719.4
1000,122300,存货-成品,资产,202602,82.0,467.8,2333.6
1000,122300,存货-成品,资产,202603,88.2,345.2,2076.6
1000,122300,存货-成品,资产,202604,128.5,524.1,1681.0
1000,122300,存货-成品,资产,202605,130.1,109.5,1701.6
1000,213200,应付账款,负债,202512,697.3,316.4,3567.8
1000,213200,应付账款,负债,202601,54.9,323.3,3299.4
1000,213200,应付账款,负债,202602,359.8,63.6,3595.6
1000,213200,应付账款,负债,202603,125.0,270.8,3449.8
1000,213200,应付账款,负债,202604,110.6,670.7,2889.7
1000,213200,应付账款,负债,202605,784.4,553.1,3121.0
1000,400100,主营业务收入,损益,202512,357.7,75.7,3301.4
1000,400100,主营业务收入,损益,202601,555.8,701.2,3156.0
1000,400100,主营业务收入,损益,202602,156.1,465.5,2846.6
1000,400100,主营业务收入,损益,202603,236.1,479.6,2603.1
1000,400100,主营业务收入,损益,202604,222.8,374.2,2451.7
1000,400100,主营业务收入,损益,202605,562.2,137.1,2876.8
1000,500100,主营业务成本,损益,202512,514.7,394.0,1301.4
1000,500100,主营业务成本,损益,202601,144.7,715.3,730.8
1000,500100,主营业务成本,损益,202602,416.2,722.6,424.4
1000,500100,主营业务成本,损益,202603,698.6,615.7,507.3
1000,500100,主营业务成本,损益,202604,481.9,95.5,893.7
1000,500100,主营业务成本,损益,202605,545.5,212.0,1227.2
1000,600100,销售费用,损益,202512,126.1,370.5,2036.0
1000,600100,销售费用,损益,202601,672.1,197.7,2510.4
1000,600100,销售费用,损益,202602,495.6,734.5,2271.5
1000,600100,销售费用,损益,202603,644.0,495.2,2420.3
1000,600100,销售费用,损益,202604,393.2,502.6,2310.9
1000,600100,销售费用,损益,202605,351.8,90.2,2572.5
1000,600200,管理费用,损益,202512,78.0,84.1,4746.9
1000,600200,管理费用,损益,202601,396.0,322.6,4820.3
1000,600200,管理费用,损益,202602,460.2,568.4,4712.1
1000,600200,管理费用,损益,202603,326.1,173.1,4865.1
1000,600200,管理费用,损益,202604,277.1,118.5,5023.7
1000,600200,管理费用,损益,202605,672.9,195.7,5500.9
1000,600300,财务费用,损益,202512,257.2,492.0,4355.4
1000,600300,财务费用,损益,202601,506.4,402.2,4459.6
1000,600300,财务费用,损益,202602,272.2,507.5,4224.3
1000,600300,财务费用,损益,202603,503.4,337.5,4390.2
1000,600300,财务费用,损益,202604,659.2,368.7,4680.7
1000,600300,财务费用,损益,202605,419.1,350.4,4749.4
