MATNR,MaterialDesc,MTART,WERKS,PlantName,STOCK_QTY,MEINS,STOCK_VALUE,TURNOVER_DAY,SafetyStock
M001001,高压断路器 ZN-12kV,FERT,1002,南京工厂,968.0,PC,1955.0,98.1,138.0
M001001,高压断路器 ZN-12kV,FERT,4001,成都工厂,1904.0,PC,4287.7,143.9,570.0
M001001,高压断路器 ZN-12kV,FERT,5001,沈阳工厂,2389.0,PC,660.4,102.0,381.0
M001002,中压开关柜 KYN28-12,FERT,1001,上海工厂,4852.0,PC,962.3,121.9,755.0
M001002,中压开关柜 KYN28-12,FERT,1002,南京工厂,1841.0,PC,2634.8,83.2,284.0
M001002,中压开关柜 KYN28-12,FERT,2001,广州工厂,2674.0,PC,1228.6,131.0,438.0
M001002,中压开关柜 KYN28-12,FERT,3001,北京工厂,185.0,PC,476.8,113.7,33.0
M001002,中压开关柜 KYN28-12,FERT,4001,成都工厂,3015.0,PC,1458.9,60.4,606.0
M001003,干式变压器 SCB-1000kVA,FERT,1002,南京工厂,3978.0,PC,18370.0,121.2,563.0
M001003,干式变压器 SCB-1000kVA,FERT,2001,广州工厂,4448.0,PC,11102.2,166.3,826.0
M001003,干式变压器 SCB-1000kVA,FERT,3001,北京工厂,965.0,PC,3516.9,85.3,236.0
M001003,干式变压器 SCB-1000kVA,FERT,4001,成都工厂,2900.0,PC,6770.8,123.2,444.0
M001003,干式变压器 SCB-1000kVA,FERT,5001,沈阳工厂,1538.0,PC,1313.6,101.1,269.0
M001004,油浸变压器 S11-1600kVA,FERT,2001,广州工厂,2316.0,PC,10332.6,102.8,412.0
M001004,油浸变压器 S11-1600kVA,FERT,3001,北京工厂,4729.0,PC,5452.1,155.2,1083.0
M001004,油浸变压器 S11-1600kVA,FERT,4001,成都工厂,3278.0,PC,11972.1,96.5,838.0
M002001,工业电机 Y2-280M,FERT,1001,上海工厂,2906.0,PC,9758.3,158.7,429.0
M002001,工业电机 Y2-280M,FERT,1002,南京工厂,2830.0,PC,11130.4,42.0,745.0
M002001,工业电机 Y2-280M,FERT,3001,北京工厂,95.0,PC,227.5,108.0,28.0
M002001,工业电机 Y2-280M,FERT,4001,成都工厂,1446.0,PC,4509.8,95.8,421.0
M002001,工业电机 Y2-280M,FERT,5001,沈阳工厂,1409.0,PC,6535.9,48.2,289.0
M002002,伺服驱动器 SD-7.5kW,FERT,1002,南京工厂,1350.0,PC,4356.4,37.8,339.0
M002002,伺服驱动器 SD-7.5kW,FERT,4001,成都工厂,4127.0,PC,13248.4,146.2,475.0
M002002,伺服驱动器 SD-7.5kW,FERT,5001,沈阳工厂,4886.0,PC,17693.7,35.3,1269.0
M002003,PLC 模块 S7-1500 CPU,FERT,1001,上海工厂,4687.0,PC,14394.5,106.7,906.0
M002003,PLC 模块 S7-1500 CPU,FERT,1002,南京工厂,2571.0,PC,624.2,179.7,726.0
M002003,PLC 模块 S7-1500 CPU,FERT,4001,成都工厂,1296.0,PC,6326.8,60.5,202.0
M002004,频率变换器 G120-22kW,FERT,1001,上海工厂,2288.0,PC,831.8,124.9,493.0
M002004,频率变换器 G120-22kW,FERT,1002,南京工厂,3028.0,PC,11231.2,40.8,558.0
M002004,频率变换器 G120-22kW,FERT,3001,北京工厂,1834.0,PC,6201.8,83.9,250.0
M003001,硅钢片 35Q155,ROH,1001,上海工厂,4558.0,KG,17244.3,136.1,967.0
M003001,硅钢片 35Q155,ROH,1002,南京工厂,2600.0,KG,4112.5,134.0,619.0
M003001,硅钢片 35Q155,ROH,2001,广州工厂,4788.0,KG,20780.9,176.7,586.0
M003001,硅钢片 35Q155,ROH,4001,成都工厂,4282.0,KG,6523.6,103.7,824.0
M003001,硅钢片 35Q155,ROH,5001,沈阳工厂,2752.0,KG,11100.7,113.9,635.0
M003002,电解铜 Cu99.99%,ROH,2001,广州工厂,2795.0,KG,8075.1,87.8,741.0
M003002,电解铜 Cu99.99%,ROH,3001,北京工厂,2402.0,KG,3868.5,73.8,646.0
M003002,电解铜 Cu99.99%,ROH,5001,沈阳工厂,1016.0,KG,2193.8,111.8,286.0
M003003,环氧树脂 EP-8001,ROH,1001,上海工厂,4158.0,KG,10048.3,38.3,956.0
M003003,环氧树脂 EP-8001,ROH,1002,南京工厂,4792.0,KG,12885.3,38.0,1064.0
M003003,环氧树脂 EP-8001,ROH,2001,广州工厂,4845.0,KG,4010.9,157.1,933.0
M003003,环氧树脂 EP-8001,ROH,3001,北京工厂,1561.0,KG,6572.7,16.3,216.0
M003003,环氧树脂 EP-8001,ROH,4001,成都工厂,678.0,KG,652.9,124.6,86.0
M003003,环氧树脂 EP-8001,ROH,5001,沈阳工厂,4782.0,KG,15901.6,113.7,662.0
M003004,绝缘漆 H 级,ROH,1002,南京工厂,2196.0,L,8431.2,82.9,272.0
M003004,绝缘漆 H 级,ROH,2001,广州工厂,2981.0,L,14177.6,133.4,326.0
M003004,绝缘漆 H 级,ROH,3001,北京工厂,211.0,L,980.4,93.5,32.0
M003004,绝缘漆 H 级,ROH,4001,成都工厂,4592.0,L,7495.3,21.9,1076.0
