MBLNR,BUDAT,WERKS,MATNR,MoveType,MENGE,DMBTR
5000000001,2025-12-20,4001,M002003,101,14.0,3.1
5000000002,2025-12-17,3001,M002004,261,186.0,140.9
5000000003,2025-12-17,4001,M002004,501,220.0,340.8
5000000004,2025-12-15,2001,M002003,101,129.0,23.0
5000000005,2025-12-12,1002,M001002,101,207.0,262.8
5000000006,2025-12-06,3001,M001003,261,229.0,362.3
5000000007,2025-12-17,5001,M001001,261,453.0,685.2
5000000008,2025-12-10,1001,M002003,101,141.0,83.0
5000000009,2025-12-23,5001,M003001,101,281.0,690.1
5000000010,2025-12-19,4001,M002004,601,333.0,547.2
5000000011,2025-12-07,5001,M002003,261,425.0,698.0
5000000012,2025-12-10,1002,M001003,261,85.0,206.6
5000000013,2025-12-16,2001,M002003,501,84.0,57.8
5000000014,2025-12-27,4001,M002003,261,77.0,2.8
5000000015,2025-12-21,5001,M002002,601,17.0,23.4
5000000016,2025-12-21,5001,M001002,261,139.0,46.7
5000000017,2025-12-07,2001,M001004,261,461.0,1074.9
5000000018,2025-12-17,4001,M003002,261,49.0,142.0
5000000019,2025-12-03,5001,M001001,501,258.0,254.6
5000000020,2025-12-14,5001,M003001,101,221.0,186.8
5000000021,2025-12-01,1002,M003002,501,36.0,25.7
5000000022,2025-12-14,3001,M001004,101,407.0,145.4
5000000023,2025-12-14,4001,M002002,261,127.0,105.2
5000000024,2025-12-04,3001,M001003,601,336.0,894.9
5000000025,2025-12-18,1001,M002002,261,342.0,851.7
5000000026,2025-12-20,5001,M001001,261,201.0,124.9
5000000027,2025-12-08,4001,M001001,261,353.0,909.9
5000000028,2025-12-25,4001,M003002,261,243.0,85.9
5000000029,2025-12-25,4001,M003001,501,380.0,146.6
5000000030,2025-12-21,4001,M002003,101,327.0,372.0
5000000031,2025-12-18,5001,M001004,101,49.0,61.1
5000000032,2025-12-14,5001,M001004,101,251.0,314.9
5000000033,2025-12-12,4001,M003002,101,330.0,49.7
5000000034,2025-12-06,1002,M002001,501,417.0,1087.9
5000000035,2025-12-22,1001,M003004,101,53.0,82.3
5000000036,2025-12-17,5001,M001002,501,352.0,646.5
5000000037,2025-12-18,4001,M002001,261,455.0,73.6
5000000038,2025-12-09,2001,M002003,101,134.0,46.6
5000000039,2025-12-24,1001,M002001,101,151.0,295.1
5000000040,2025-12-17,2001,M002002,101,95.0,214.6
5000000041,2025-12-04,5001,M001001,601,221.0,459.8
5000000042,2025-12-02,1001,M003001,261,68.0,109.1
5000000043,2025-12-28,1002,M001001,101,325.0,959.2
5000000044,2025-12-26,1001,M001002,501,478.0,413.1
5000000045,2025-12-21,1001,M003002,601,325.0,251.4
5000000046,2025-12-22,3001,M003002,261,384.0,1011.2
5000000047,2025-12-19,5001,M001002,261,11.0,22.0
5000000048,2025-12-26,1002,M003001,101,278.0,592.9
5000000049,2025-12-02,4001,M003002,501,176.0,72.7
5000000050,2025-12-10,1002,M003001,101,79.0,196.7
5000000051,2025-12-27,2001,M001001,261,416.0,1023.6
5000000052,2025-12-17,5001,M003003,261,154.0,192.1
5000000053,2025-12-18,3001,M003001,261,232.0,661.8
5000000054,2025-12-06,1001,M001001,261,184.0,375.9
5000000055,2025-12-02,1001,M002002,501,361.0,140.8
5000000056,2026-01-02,2001,M001004,261,398.0,1027.9
5000000057,2026-01-21,4001,M001004,601,177.0,457.7
5000000058,2026-01-17,1002,M003002,101,453.0,906.9
5000000059,2026-01-14,3001,M003003,261,190.0,294.0
5000000060,2026-01-03,1002,M003004,261,48.0,123.0
5000000061,2026-01-14,2001,M001004,261,33.0,44.0
5000000062,2026-01-21,4001,M002004,261,445.0,1164.6
5000000063,2026-01-15,4001,M003004,101,158.0,143.5
5000000064,2026-01-08,1001,M001001,101,112.0,217.4
5000000065,2026-01-22,2001,M002002,501,142.0,244.3
5000000066,2026-01-05,1002,M001004,501,417.0,320.1
5000000067,2026-01-10,3001,M003001,261,393.0,117.4
5000000068,2026-01-17,5001,M001004,261,283.0,98.9
5000000069,2026-01-07,2001,M002003,601,495.0,1037.3
5000000070,2026-01-13,1001,M002001,101,495.0,401.0
5000000071,2026-01-01,5001,M003004,261,52.0,51.6
5000000072,2026-01-27,2001,M003003,601,167.0,182.6
5000000073,2026-01-11,1002,M003003,261,253.0,404.3
5000000074,2026-01-09,2001,M001003,261,168.0,93.3
5000000075,2026-01-17,2001,M003001,261,240.0,561.0
5000000076,2026-01-26,3001,M002002,101,364.0,153.4
5000000077,2026-01-18,1002,M002004,101,35.0,56.7
5000000078,2026-01-21,3001,M001004,501,120.0,138.3
5000000079,2026-01-18,1002,M002003,261,272.0,191.9
5000000080,2026-01-20,1002,M001002,261,292.0,511.7
5000000081,2026-01-13,3001,M002002,261,157.0,362.2
5000000082,2026-01-17,1002,M001003,261,429.0,1004.2
5000000083,2026-01-13,1002,M001002,501,330.0,189.0
5000000084,2026-01-06,3001,M001003,261,228.0,542.7
5000000085,2026-01-12,1001,M002003,101,184.0,439.6
5000000086,2026-01-12,1001,M001003,501,287.0,663.2
5000000087,2026-01-05,1002,M003002,261,45.0,90.2
5000000088,2026-01-09,2001,M001004,101,202.0,28.7
5000000089,2026-01-13,2001,M002001,601,351.0,743.9
5000000090,2026-01-12,1002,M001001,101,387.0,309.6
5000000091,2026-01-05,1002,M001004,601,79.0,116.4
5000000092,2026-01-22,2001,M001004,261,488.0,1308.9
5000000093,2026-01-28,5001,M002003,601,479.0,1371.9
5000000094,2026-01-08,1002,M001004,101,285.0,166.6
5000000095,2026-01-27,2001,M001001,101,52.0,154.1
5000000096,2026-01-13,5001,M002003,601,250.0,219.2
5000000097,2026-01-02,1002,M001004,261,29.0,69.0
5000000098,2026-01-19,1001,M003001,501,309.0,170.5
5000000099,2026-01-12,1002,M002002,601,348.0,692.0
5000000100,2026-01-02,5001,M001001,601,419.0,80.9
5000000101,2026-01-08,1001,M001004,501,268.0,452.1
5000000102,2026-01-02,1002,M002003,261,496.0,246.5
5000000103,2026-01-16,3001,M003002,601,99.0,90.9
5000000104,2026-01-15,5001,M002004,601,309.0,181.6
5000000105,2026-01-21,4001,M003003,261,335.0,447.2
5000000106,2026-01-09,1002,M002004,261,356.0,400.2
5000000107,2026-01-15,3001,M003003,101,332.0,462.0
5000000108,2026-01-19,5001,M002001,101,370.0,1028.6
5000000109,2026-01-22,4001,M003001,101,273.0,49.9
5000000110,2026-01-01,3001,M002003,601,124.0,120.4
5000000111,2026-01-26,3001,M003001,601,69.0,73.0
5000000112,2026-01-05,1002,M003002,261,216.0,289.7
5000000113,2026-01-13,2001,M002004,261,298.0,248.3
5000000114,2026-01-08,1001,M002003,101,448.0,835.1
5000000115,2026-01-25,1002,M003004,101,423.0,765.4
5000000116,2026-01-20,4001,M002001,261,157.0,124.0
5000000117,2026-01-03,3001,M001004,261,155.0,140.2
5000000118,2026-01-24,4001,M001001,261,72.0,144.2
5000000119,2026-01-23,1002,M003002,101,287.0,182.2
5000000120,2026-01-18,4001,M001004,261,255.0,667.1
5000000121,2026-01-10,4001,M002002,101,57.0,127.8
5000000122,2026-01-24,5001,M002002,101,183.0,500.2
5000000123,2026-02-24,4001,M001001,101,267.0,572.1
5000000124,2026-02-05,1002,M002002,101,402.0,644.6
5000000125,2026-02-22,3001,M003001,261,233.0,452.9
5000000126,2026-02-20,1001,M002003,101,91.0,246.9
5000000127,2026-02-22,4001,M003002,101,249.0,295.7
5000000128,2026-02-10,5001,M001001,261,335.0,807.1
5000000129,2026-02-22,5001,M001001,261,211.0,617.7
5000000130,2026-02-08,5001,M001003,261,120.0,150.4
5000000131,2026-02-01,4001,M003004,101,248.0,720.5
5000000132,2026-02-09,1001,M002003,601,381.0,531.2
5000000133,2026-02-11,3001,M002002,601,381.0,871.6
5000000134,2026-02-15,4001,M001002,601,106.0,37.0
5000000135,2026-02-27,2001,M003001,261,149.0,257.1
5000000136,2026-02-04,2001,M001001,601,204.0,27.4
5000000137,2026-02-27,3001,M002002,261,256.0,335.4
5000000138,2026-02-04,4001,M002004,261,27.0,36.8
5000000139,2026-02-01,4001,M003002,501,199.0,426.5
5000000140,2026-02-06,3001,M002003,101,364.0,929.7
5000000141,2026-02-13,1001,M003001,501,120.0,305.1
5000000142,2026-02-06,5001,M003003,101,260.0,408.9
5000000143,2026-02-16,2001,M003004,101,407.0,285.6
5000000144,2026-02-16,3001,M003003,261,247.0,79.2
5000000145,2026-02-06,4001,M001001,261,76.0,190.3
5000000146,2026-02-12,1001,M001003,261,460.0,426.5
5000000147,2026-02-11,2001,M003003,261,194.0,251.8
5000000148,2026-02-06,3001,M001001,501,337.0,970.7
5000000149,2026-02-09,1001,M001004,101,411.0,52.6
5000000150,2026-02-27,1001,M002001,261,214.0,632.5
5000000151,2026-02-28,3001,M001003,261,434.0,259.7
5000000152,2026-02-20,1001,M001003,261,281.0,674.5
5000000153,2026-02-25,3001,M001004,261,236.0,134.7
5000000154,2026-02-13,4001,M002001,261,207.0,377.1
5000000155,2026-02-03,1002,M003002,261,381.0,213.9
