EBELN,LIFNR,SupplierName,WERKS,MATNR,MaterialDesc,BEDAT,EINDT,MENGE,NETWR_F,DeliveryStatus
4500000001,S200010,京东方,1002,M003001,硅钢片 35Q155,2025-12-06,2025-12-13,5248.0,294.6,逾期
4500000002,S200001,宝钢股份,2001,M003004,绝缘漆 H 级,2025-12-06,2025-12-26,9916.0,74.1,逾期
4500000003,S200010,京东方,1001,M003003,环氧树脂 EP-8001,2025-12-10,2025-12-23,5138.0,188.5,在途
4500000004,S200009,立讯精密,4001,M003004,绝缘漆 H 级,2025-12-03,2025-12-16,1263.0,161.8,已交付
4500000005,S200004,海螺水泥,1002,M003003,环氧树脂 EP-8001,2025-12-12,2025-12-20,3378.0,281.6,已交付
4500000006,S200005,万华化学,1002,M003003,环氧树脂 EP-8001,2025-12-20,2025-12-28,7661.0,143.6,在途
4500000007,S200002,中国铝业,4001,M003003,环氧树脂 EP-8001,2025-12-17,2025-12-28,3980.0,175.9,已交付
4500000008,S200003,金风科技,5001,M003004,绝缘漆 H 级,2025-12-04,2025-12-16,9831.0,13.3,已交付
4500000009,S200007,汇川技术,3001,M003002,电解铜 Cu99.99%,2025-12-09,2025-12-18,9171.0,291.7,逾期
4500000010,S200005,万华化学,1001,M003001,硅钢片 35Q155,2025-12-07,2025-12-25,5115.0,169.5,已交付
4500000011,S200001,宝钢股份,4001,M003004,绝缘漆 H 级,2025-12-06,2025-12-21,8317.0,69.6,在途
4500000012,S200009,立讯精密,1002,M003002,电解铜 Cu99.99%,2025-12-04,2025-12-13,1028.0,34.6,已交付
4500000013,S200004,海螺水泥,3001,M003003,环氧树脂 EP-8001,2025-12-04,2025-12-27,7476.0,35.5,已交付
4500000014,S200003,金风科技,2001,M003003,环氧树脂 EP-8001,2025-12-18,2025-12-28,1811.0,110.2,在途
4500000015,S200007,汇川技术,5001,M003003,环氧树脂 EP-8001,2025-12-04,2025-12-13,2260.0,117.8,在途
4500000016,S200001,宝钢股份,1002,M003003,环氧树脂 EP-8001,2025-12-17,2025-12-28,2221.0,102.7,在途
4500000017,S200010,京东方,1002,M003004,绝缘漆 H 级,2025-12-04,2025-12-14,5774.0,237.8,在途
4500000018,S200004,海螺水泥,5001,M003004,绝缘漆 H 级,2025-12-16,2025-12-24,3658.0,275.3,在途
4500000019,S200008,宁德时代,1001,M003001,硅钢片 35Q155,2025-12-07,2025-12-19,1808.0,8.5,逾期
4500000020,S200007,汇川技术,3001,M003003,环氧树脂 EP-8001,2025-12-06,2025-12-28,7125.0,102.4,在途
4500000021,S200001,宝钢股份,3001,M003003,环氧树脂 EP-8001,2026-01-06,2026-01-19,2798.0,228.5,已交付
4500000022,S200005,万华化学,2001,M003003,环氧树脂 EP-8001,2026-01-04,2026-01-15,6125.0,44.5,已交付
4500000023,S200002,中国铝业,1001,M003001,硅钢片 35Q155,2026-01-11,2026-01-28,7733.0,253.9,已交付
4500000024,S200005,万华化学,2001,M003003,环氧树脂 EP-8001,2026-01-18,2026-01-28,8760.0,35.8,在途
4500000025,S200004,海螺水泥,2001,M003004,绝缘漆 H 级,2026-01-10,2026-01-28,1077.0,94.4,在途
4500000026,S200001,宝钢股份,2001,M003003,环氧树脂 EP-8001,2026-01-10,2026-01-28,1538.0,167.6,已交付
4500000027,S200008,宁德时代,4001,M003004,绝缘漆 H 级,2026-01-03,2026-01-26,5750.0,247.7,已交付
4500000028,S200008,宁德时代,1002,M003001,硅钢片 35Q155,2026-01-07,2026-01-28,676.0,150.5,已交付
4500000029,S200001,宝钢股份,1001,M003003,环氧树脂 EP-8001,2026-01-15,2026-01-28,6890.0,291.9,已交付
