WERKS,PlantName,CALMONTH,OUTPUT_QTY,DEFECT_QTY,YIELD_RATE,OEE
1001,上海工厂,202512,6428.0,199.0,96.9,89.3
1001,上海工厂,202601,2795.0,148.0,94.7,67.0
1001,上海工厂,202602,6185.0,227.0,96.33,81.8
1001,上海工厂,202603,3101.0,58.0,98.13,86.2
1001,上海工厂,202604,5879.0,271.0,95.39,63.0
1001,上海工厂,202605,2457.0,169.0,93.12,74.9
1002,南京工厂,202512,6255.0,410.0,93.45,81.8
1002,南京工厂,202601,1672.0,97.0,94.2,74.7
1002,南京工厂,202602,943.0,9.0,99.05,67.0
1002,南京工厂,202603,2657.0,187.0,92.96,65.8
1002,南京工厂,202604,2023.0,83.0,95.9,77.5
1002,南京工厂,202605,2088.0,132.0,93.68,72.5
2001,广州工厂,202512,3064.0,26.0,99.15,61.8
2001,广州工厂,202601,1221.0,63.0,94.84,88.8
2001,广州工厂,202602,3132.0,45.0,98.56,80.2
2001,广州工厂,202603,3685.0,156.0,95.77,75.8
2001,广州工厂,202604,6966.0,171.0,97.55,80.7
2001,广州工厂,202605,2029.0,68.0,96.65,89.3
3001,北京工厂,202512,2841.0,65.0,97.71,67.9
3001,北京工厂,202601,6704.0,325.0,95.15,60.9
3001,北京工厂,202602,1666.0,100.0,94.0,81.7
3001,北京工厂,202603,3564.0,145.0,95.93,70.3
3001,北京工厂,202604,3728.0,218.0,94.15,88.2
3001,北京工厂,202605,3921.0,48.0,98.78,68.8
4001,成都工厂,202512,7907.0,312.0,96.05,65.3
4001,成都工厂,202601,5551.0,114.0,97.95,76.3
4001,成都工厂,202602,2964.0,232.0,92.17,90.9
4001,成都工厂,202603,6931.0,402.0,94.2,82.3
4001,成都工厂,202604,6981.0,121.0,98.27,76.8
4001,成都工厂,202605,3886.0,269.0,93.08,65.2
5001,沈阳工厂,202512,3329.0,52.0,98.44,84.7
5001,沈阳工厂,202601,5827.0,178.0,96.95,66.7
5001,沈阳工厂,202602,1952.0,106.0,94.57,74.5
5001,沈阳工厂,202603,6313.0,264.0,95.82,66.1
5001,沈阳工厂,202604,894.0,37.0,95.86,78.1
5001,沈阳工厂,202605,7093.0,263.0,96.29,73.1
