KUNNR,CustomerName,Industry,Region,CALMONTH,NETWR_F,OrderCount
C100001,上海张江工业集团,电子制造,HD,202604,532.6,17
C100001,上海张江工业集团,电子制造,HD,202605,530.3,10
C100002,宁波港务实业,物流,HD,202601,334.3,7
C100002,宁波港务实业,物流,HD,202604,301.5,24
C100003,无锡新能科技,新能源,HD,202512,457.8,10
C100003,无锡新能科技,新能源,HD,202602,1481.7,15
C100003,无锡新能科技,新能源,HD,202604,1389.8,7
C100003,无锡新能科技,新能源,HD,202605,272.0,22
C100004,苏州汽配股份,汽车零部件,HD,202512,1125.0,25
C100004,苏州汽配股份,汽车零部件,HD,202602,250.6,25
C100004,苏州汽配股份,汽车零部件,HD,202603,1101.9,20
C100004,苏州汽配股份,汽车零部件,HD,202604,1109.4,16
C100005,深圳华联电子,电子制造,HN,202512,1489.2,3
C100005,深圳华联电子,电子制造,HN,202601,534.0,18
C100005,深圳华联电子,电子制造,HN,202602,1348.9,19
C100005,深圳华联电子,电子制造,HN,202604,317.9,3
C100005,深圳华联电子,电子制造,HN,202605,789.2,20
C100006,广州白云重工,重工,HN,202512,530.8,9
C100006,广州白云重工,重工,HN,202601,1431.8,2
C100006,广州白云重工,重工,HN,202602,1055.2,10
C100006,广州白云重工,重工,HN,202604,801.0,3
C100006,广州白云重工,重工,HN,202605,321.1,25
C100007,佛山陶瓷集团,建材,HN,202603,1247.4,8
C100007,佛山陶瓷集团,建材,HN,202604,1072.4,16
C100007,佛山陶瓷集团,建材,HN,202605,314.0,24
C100008,北京中科精密,精密仪器,HB,202512,1166.0,17
C100008,北京中科精密,精密仪器,HB,202602,1042.1,19
C100008,北京中科精密,精密仪器,HB,202603,222.0,20
C100008,北京中科精密,精密仪器,HB,202604,853.1,18
C100008,北京中科精密,精密仪器,HB,202605,87.8,21
C100009,天津大港石化,石化,HB,202512,713.5,2
C100009,天津大港石化,石化,HB,202603,382.6,10
C100009,天津大港石化,石化,HB,202604,600.0,7
C100009,天津大港石化,石化,HB,202605,251.3,22
C100010,唐山钢铁集团,冶金,HB,202512,493.4,18
C100010,唐山钢铁集团,冶金,HB,202603,289.1,5
C100010,唐山钢铁集团,冶金,HB,202604,685.3,9
C100010,唐山钢铁集团,冶金,HB,202605,694.5,2
C100011,成都飞机工业,航空,HX,202512,1009.2,21
C100011,成都飞机工业,航空,HX,202601,190.0,8
C100011,成都飞机工业,航空,HX,202602,1012.0,13
C100011,成都飞机工业,航空,HX,202603,1326.0,6
C100011,成都飞机工业,航空,HX,202604,1496.5,15
C100011,成都飞机工业,航空,HX,202605,22.9,6
C100012,重庆长安实业,汽车零部件,HX,202512,528.7,13
C100012,重庆长安实业,汽车零部件,HX,202602,904.6,12
C100012,重庆长安实业,汽车零部件,HX,202604,717.8,6
C100012,重庆长安实业,汽车零部件,HX,202605,1205.8,22
C100013,西安西电变压器,电气,XB,202512,723.5,11
C100013,西安西电变压器,电气,XB,202602,751.0,1
C100013,西安西电变压器,电气,XB,202603,826.4,25
C100014,兰州石化机械,石化,XB,202512,1384.4,3
C100015,沈阳重型机床,重型装备,DB,202601,1322.9,5
C100015,沈阳重型机床,重型装备,DB,202602,271.8,13
C100015,沈阳重型机床,重型装备,DB,202603,213.4,8
C100015,沈阳重型机床,重型装备,DB,202604,1034.0,15
C100015,沈阳重型机床,重型装备,DB,202605,781.3,8
C100016,大连船舶重工,船舶,DB,202602,470.8,17
C100016,大连船舶重工,船舶,DB,202603,1088.0,18
C100016,大连船舶重工,船舶,DB,202604,1300.2,16
C100016,大连船舶重工,船舶,DB,202605,267.2,7
C100017,长春一汽配件,汽车零部件,DB,202601,1304.7,17
C100017,长春一汽配件,汽车零部件,DB,202604,865.2,19
C100017,长春一汽配件,汽车零部件,DB,202605,1439.7,24
C100018,青岛海尔智家,家电,HB,202512,466.7,4
C100018,青岛海尔智家,家电,HB,202603,1363.7,7
C100018,青岛海尔智家,家电,HB,202605,621.1,20
C100019,杭州西子电梯,机电,HD,202512,696.1,21
C100019,杭州西子电梯,机电,HD,202601,783.9,5
C100019,杭州西子电梯,机电,HD,202602,1424.7,3
C100019,杭州西子电梯,机电,HD,202603,653.9,12
C100019,杭州西子电梯,机电,HD,202604,1326.2,12
C100019,杭州西子电梯,机电,HD,202605,1043.7,4
C100020,厦门金龙客车,商用车,HN,202512,1160.5,2
C100020,厦门金龙客车,商用车,HN,202602,1471.9,8
C100020,厦门金龙客车,商用车,HN,202603,610.1,24
C100020,厦门金龙客车,商用车,HN,202604,1045.1,13
C100020,厦门金龙客车,商用车,HN,202605,830.2,3
