OfficeCode,OfficeName,Region,RegionName,CALMONTH,NETWR_F,GROSS_PROFIT,GP_RATIO,YoY,MoM
SHA,上海办事处,HD,华东大区,202512,1297.1,454.0,35.0,15.0,-1.1
SHA,上海办事处,HD,华东大区,202601,1341.5,419.9,31.3,9.2,10.8
SHA,上海办事处,HD,华东大区,202602,1447.5,412.5,28.5,15.1,-14.7
SHA,上海办事处,HD,华东大区,202603,1290.4,379.4,29.4,15.0,21.3
SHA,上海办事处,HD,华东大区,202604,1211.6,392.6,32.4,25.3,20.4
SHA,上海办事处,HD,华东大区,202605,1221.4,415.3,34.0,23.8,-13.1
NJG,南京办事处,HD,华东大区,202512,1875.6,303.8,16.2,1.3,-2.2
NJG,南京办事处,HD,华东大区,202601,1927.6,695.9,36.1,11.9,-0.6
NJG,南京办事处,HD,华东大区,202602,1884.8,350.6,18.6,4.8,6.4
NJG,南京办事处,HD,华东大区,202603,1834.4,421.9,23.0,16.0,-9.6
NJG,南京办事处,HD,华东大区,202604,1487.1,343.5,23.1,27.3,-2.1
NJG,南京办事处,HD,华东大区,202605,1598.4,282.9,17.7,16.5,16.0
HZH,杭州办事处,HD,华东大区,202512,2172.7,782.2,36.0,10.9,19.8
HZH,杭州办事处,HD,华东大区,202601,2499.3,942.2,37.7,-3.7,17.5
HZH,杭州办事处,HD,华东大区,202602,2107.3,480.5,22.8,1.4,-2.7
HZH,杭州办事处,HD,华东大区,202603,1989.0,664.3,33.4,17.4,-3.8
HZH,杭州办事处,HD,华东大区,202604,2352.7,505.8,21.5,6.8,-12.7
HZH,杭州办事处,HD,华东大区,202605,1961.2,606.0,30.9,17.1,-5.3
SZX,深圳办事处,HN,华南大区,202512,1990.5,692.7,34.8,15.7,18.9
SZX,深圳办事处,HN,华南大区,202601,2131.9,799.5,37.5,21.8,-11.1
SZX,深圳办事处,HN,华南大区,202602,2004.9,366.9,18.3,26.2,-0.8
SZX,深圳办事处,HN,华南大区,202603,2388.9,506.4,21.2,-4.5,-9.4
SZX,深圳办事处,HN,华南大区,202604,2444.4,422.9,17.3,-4.3,-12.9
SZX,深圳办事处,HN,华南大区,202605,2355.8,452.3,19.2,6.3,13.9
GZH,广州办事处,HN,华南大区,202512,1857.9,282.4,15.2,-9.2,-5.7
GZH,广州办事处,HN,华南大区,202601,1761.2,327.6,18.6,2.7,-4.8
GZH,广州办事处,HN,华南大区,202602,1791.9,602.1,33.6,14.8,-2.8
GZH,广州办事处,HN,华南大区,202603,2055.5,474.8,23.1,10.2,2.3
GZH,广州办事处,HN,华南大区,202604,1755.4,521.4,29.7,16.9,10.3
GZH,广州办事处,HN,华南大区,202605,1807.8,280.2,15.5,19.3,-12.7
XMN,厦门办事处,HN,华南大区,202512,2122.1,738.5,34.8,-7.4,-7.7
XMN,厦门办事处,HN,华南大区,202601,2131.0,554.1,26.0,22.7,1.6
XMN,厦门办事处,HN,华南大区,202602,2391.3,564.3,23.6,22.0,-12.7
XMN,厦门办事处,HN,华南大区,202603,2174.2,384.8,17.7,-3.5,-0.1
XMN,厦门办事处,HN,华南大区,202604,2360.6,590.1,25.0,21.2,-9.8
XMN,厦门办事处,HN,华南大区,202605,2805.4,650.9,23.2,12.8,-8.8
BJG,北京办事处,HB,华北大区,202512,1177.7,263.8,22.4,-2.3,-12.4
BJG,北京办事处,HB,华北大区,202601,1296.6,422.7,32.6,22.7,2.8
BJG,北京办事处,HB,华北大区,202602,1456.5,482.1,33.1,-10.6,10.6
BJG,北京办事处,HB,华北大区,202603,1426.2,482.1,33.8,22.6,5.6
BJG,北京办事处,HB,华北大区,202604,1563.7,269.0,17.2,10.3,-9.9
BJG,北京办事处,HB,华北大区,202605,1441.7,317.2,22.0,23.8,-9.2
TJN,天津办事处,HB,华北大区,202512,996.8,362.8,36.4,25.7,-13.6
TJN,天津办事处,HB,华北大区,202601,1059.7,332.7,31.4,-6.6,13.6
TJN,天津办事处,HB,华北大区,202602,1037.8,375.7,36.2,16.4,-5.5
TJN,天津办事处,HB,华北大区,202603,1319.6,372.1,28.2,-6.5,11.5
TJN,天津办事处,HB,华北大区,202604,1254.2,318.6,25.4,18.4,21.2
TJN,天津办事处,HB,华北大区,202605,1102.2,180.8,16.4,5.3,3.7
CDU,成都办事处,HX,华西大区,202512,2260.2,775.2,34.3,6.0,19.4
CDU,成都办事处,HX,华西大区,202601,2196.6,749.0,34.1,-7.7,1.7
CDU,成都办事处,HX,华西大区,202602,2047.5,655.2,32.0,6.2,-0.5
CDU,成都办事处,HX,华西大区,202603,2206.5,712.7,32.3,8.0,-5.8
CDU,成都办事处,HX,华西大区,202604,2361.0,739.0,31.3,26.0,8.2
CDU,成都办事处,HX,华西大区,202605,2496.9,464.4,18.6,-9.4,-11.9
CQG,重庆办事处,HX,华西大区,202512,809.3,253.3,31.3,3.2,-0.5
CQG,重庆办事处,HX,华西大区,202601,851.5,289.5,34.0,-8.0,-7.5
CQG,重庆办事处,HX,华西大区,202602,778.6,271.7,34.9,18.6,17.8
CQG,重庆办事处,HX,华西大区,202603,1012.9,256.3,25.3,13.9,-14.5
CQG,重庆办事处,HX,华西大区,202604,946.9,165.7,17.5,15.2,16.9
CQG,重庆办事处,HX,华西大区,202605,968.5,359.3,37.1,15.1,10.4
XAN,西安办事处,XB,西北大区,202512,2335.8,808.2,34.6,4.3,-7.2
XAN,西安办事处,XB,西北大区,202601,3109.1,509.9,16.4,24.6,12.6
XAN,西安办事处,XB,西北大区,202602,2480.3,828.4,33.4,21.9,18.2
XAN,西安办事处,XB,西北大区,202603,2777.0,599.8,21.6,3.5,0.9
XAN,西安办事处,XB,西北大区,202604,2366.4,750.1,31.7,7.0,8.3
XAN,西安办事处,XB,西北大区,202605,2480.3,635.0,25.6,3.9,-1.4
URM,乌鲁木齐办事处,XB,西北大区,202512,1158.7,431.0,37.2,-9.9,-1.2
URM,乌鲁木齐办事处,XB,西北大区,202601,1271.1,274.6,21.6,2.9,-0.2
URM,乌鲁木齐办事处,XB,西北大区,202602,1114.0,417.8,37.5,-5.1,-8.5
URM,乌鲁木齐办事处,XB,西北大区,202603,972.3,188.6,19.4,27.8,-11.8
URM,乌鲁木齐办事处,XB,西北大区,202604,1013.3,324.3,32.0,-3.2,1.2
URM,乌鲁木齐办事处,XB,西北大区,202605,921.5,204.6,22.2,17.2,13.6
SHY,沈阳办事处,DB,东北大区,202512,822.0,210.4,25.6,23.8,18.7
SHY,沈阳办事处,DB,东北大区,202601,795.8,158.4,19.9,-4.2,16.9
SHY,沈阳办事处,DB,东北大区,202602,634.7,175.2,27.6,19.2,-13.8
SHY,沈阳办事处,DB,东北大区,202603,655.5,170.4,26.0,9.8,-8.8
SHY,沈阳办事处,DB,东北大区,202604,623.2,234.9,37.7,23.1,-1.4
SHY,沈阳办事处,DB,东北大区,202605,681.6,236.5,34.7,20.9,12.1
DLN,大连办事处,DB,东北大区,202512,3102.7,623.6,20.1,22.8,-14.0
DLN,大连办事处,DB,东北大区,202601,2831.7,557.8,19.7,15.9,10.1
DLN,大连办事处,DB,东北大区,202602,3277.1,793.1,24.2,-6.1,0.7
DLN,大连办事处,DB,东北大区,202603,3195.8,661.5,20.7,10.7,8.5
DLN,大连办事处,DB,东北大区,202604,3492.8,1093.2,31.3,15.0,-0.8
DLN,大连办事处,DB,东北大区,202605,3340.7,634.7,19.0,9.5,7.1
