VBELN,KUNNR,CustomerName,OfficeCode,ERDAT,NETWR_F,Status
4500000001,C100011,成都飞机工业,CQG,2025-12-01,393.2,履约中
4500000002,C100011,成都飞机工业,CDU,2025-12-01,357.2,完成
4500000003,C100008,北京中科精密,BJG,2025-12-23,492.9,履约中
4500000004,C100007,佛山陶瓷集团,XMN,2025-12-21,455.1,新建
4500000005,C100004,苏州汽配股份,NJG,2025-12-24,169.5,新建
4500000006,C100008,北京中科精密,TJN,2025-12-06,314.8,完成
4500000007,C100001,上海张江工业集团,NJG,2025-12-04,378.7,取消
4500000008,C100009,天津大港石化,BJG,2025-12-01,186.4,完成
4500000009,C100014,兰州石化机械,XAN,2025-12-12,455.7,新建
4500000010,C100003,无锡新能科技,HZH,2025-12-18,89.4,履约中
4500000011,C100012,重庆长安实业,CDU,2025-12-25,277.2,履约中
4500000012,C100006,广州白云重工,XMN,2025-12-13,337.3,完成
4500000013,C100006,广州白云重工,XMN,2025-12-24,189.8,履约中
4500000014,C100017,长春一汽配件,SHY,2025-12-25,234.0,新建
4500000015,C100014,兰州石化机械,URM,2025-12-13,272.6,完成
4500000016,C100018,青岛海尔智家,BJG,2025-12-02,332.5,取消
4500000017,C100013,西安西电变压器,XAN,2025-12-08,330.3,完成
4500000018,C100001,上海张江工业集团,SHA,2025-12-16,234.7,完成
4500000019,C100019,杭州西子电梯,HZH,2025-12-15,46.5,取消
4500000020,C100018,青岛海尔智家,TJN,2025-12-23,71.4,完成
4500000021,C100007,佛山陶瓷集团,XMN,2025-12-28,471.6,履约中
4500000022,C100017,长春一汽配件,DLN,2025-12-12,391.1,新建
4500000023,C100002,宁波港务实业,HZH,2025-12-16,106.7,履约中
4500000024,C100012,重庆长安实业,CDU,2025-12-02,360.5,履约中
4500000025,C100009,天津大港石化,TJN,2025-12-23,31.3,完成
4500000026,C100013,西安西电变压器,URM,2025-12-10,342.6,履约中
4500000027,C100012,重庆长安实业,CQG,2025-12-25,215.7,取消
4500000028,C100020,厦门金龙客车,SZX,2025-12-28,315.7,履约中
4500000029,C100020,厦门金龙客车,SZX,2025-12-16,224.9,取消
4500000030,C100005,深圳华联电子,XMN,2025-12-06,271.3,新建
4500000031,C100015,沈阳重型机床,DLN,2025-12-06,301.1,完成
4500000032,C100020,厦门金龙客车,XMN,2025-12-27,283.6,履约中
4500000033,C100015,沈阳重型机床,SHY,2025-12-26,293.4,履约中
4500000034,C100017,长春一汽配件,SHY,2026-01-24,71.6,完成
4500000035,C100012,重庆长安实业,CQG,2026-01-11,261.1,取消
4500000036,C100012,重庆长安实业,CDU,2026-01-23,493.1,完成
4500000037,C100017,长春一汽配件,SHY,2026-01-04,216.3,履约中
4500000038,C100004,苏州汽配股份,NJG,2026-01-18,169.5,完成
4500000039,C100020,厦门金龙客车,SZX,2026-01-05,482.3,取消
4500000040,C100006,广州白云重工,XMN,2026-01-09,140.8,取消
4500000041,C100006,广州白云重工,XMN,2026-01-03,374.4,完成
4500000042,C100017,长春一汽配件,DLN,2026-01-26,382.9,履约中
4500000043,C100005,深圳华联电子,SZX,2026-01-06,225.4,完成
4500000044,C100003,无锡新能科技,NJG,2026-01-06,124.0,新建
4500000045,C100013,西安西电变压器,URM,2026-01-12,425.7,新建
4500000046,C100010,唐山钢铁集团,TJN,2026-01-08,105.8,履约中
4500000047,C100015,沈阳重型机床,SHY,2026-01-22,446.2,完成
4500000048,C100011,成都飞机工业,CDU,2026-01-13,66.3,新建
4500000049,C100010,唐山钢铁集团,BJG,2026-01-09,65.7,新建
4500000050,C100007,佛山陶瓷集团,SZX,2026-01-03,48.1,履约中
4500000051,C100004,苏州汽配股份,NJG,2026-01-23,288.9,完成
4500000052,C100002,宁波港务实业,NJG,2026-01-17,97.5,完成
4500000053,C100014,兰州石化机械,URM,2026-01-03,287.9,完成
4500000054,C100005,深圳华联电子,GZH,2026-01-25,272.9,新建
4500000055,C100008,北京中科精密,TJN,2026-01-08,492.7,完成
4500000056,C100014,兰州石化机械,XAN,2026-01-07,390.7,取消
4500000057,C100018,青岛海尔智家,BJG,2026-01-18,295.2,履约中
4500000058,C100003,无锡新能科技,SHA,2026-01-18,130.6,完成
4500000059,C100017,长春一汽配件,SHY,2026-01-23,39.1,新建
4500000060,C100002,宁波港务实业,HZH,2026-01-17,116.6,完成
4500000061,C100007,佛山陶瓷集团,GZH,2026-01-15,344.3,新建
4500000062,C100015,沈阳重型机床,SHY,2026-01-23,299.3,取消
4500000063,C100003,无锡新能科技,HZH,2026-01-12,159.7,完成
4500000064,C100018,青岛海尔智家,TJN,2026-01-16,137.4,取消
4500000065,C100006,广州白云重工,GZH,2026-01-04,486.2,完成
4500000066,C100001,上海张江工业集团,HZH,2026-01-10,466.4,履约中
4500000067,C100005,深圳华联电子,GZH,2026-01-16,270.7,完成
4500000068,C100004,苏州汽配股份,NJG,2026-01-01,74.5,完成
4500000069,C100008,北京中科精密,BJG,2026-01-16,245.0,取消
4500000070,C100001,上海张江工业集团,HZH,2026-01-14,347.5,完成
4500000071,C100002,宁波港务实业,HZH,2026-01-23,252.4,完成
4500000072,C100012,重庆长安实业,CQG,2026-01-15,160.8,履约中
4500000073,C100008,北京中科精密,BJG,2026-01-13,108.2,履约中
4500000074,C100003,无锡新能科技,NJG,2026-01-17,270.1,履约中
4500000075,C100016,大连船舶重工,SHY,2026-01-26,414.6,完成
4500000076,C100011,成都飞机工业,CDU,2026-01-21,399.2,取消
4500000077,C100001,上海张江工业集团,NJG,2026-01-18,319.9,履约中
4500000078,C100020,厦门金龙客车,XMN,2026-01-10,366.3,完成
4500000079,C100002,宁波港务实业,HZH,2026-01-14,213.1,履约中
4500000080,C100018,青岛海尔智家,BJG,2026-01-10,82.3,完成
4500000081,C100016,大连船舶重工,SHY,2026-01-01,169.4,完成
4500000082,C100014,兰州石化机械,URM,2026-01-26,297.7,取消
4500000083,C100005,深圳华联电子,XMN,2026-01-18,36.0,完成
4500000084,C100019,杭州西子电梯,NJG,2026-01-17,353.9,完成
4500000085,C100004,苏州汽配股份,HZH,2026-01-11,418.3,履约中
4500000086,C100012,重庆长安实业,CQG,2026-01-17,343.7,履约中
4500000087,C100014,兰州石化机械,URM,2026-01-27,215.4,完成
